Word,POS_Tag,Fine_Tag,Lemma,Category,Sentence_No
BAE,PROPN,NNP,BAE,Noun,36
Systems,PROPN,NNPS,Systems,Noun,36
Inc.,PROPN,NNP,Inc.,Noun,36
L3Harris,PROPN,NNP,L3Harris,Noun,36
Technologies,PROPN,NNP,Technologies,Noun,36
Teledyne,PROPN,NNP,Teledyne,Noun,36
Scientific,PROPN,NNP,Scientific,Noun,36
Imaging,PROPN,NNP,Imaging,Noun,36
Contributions,NOUN,NNS,contribution,Noun,37
Roman,PROPN,NNP,Roman,Noun,37
are,AUX,VBP,be,Verb,37
made,VERB,VBN,make,Verb,37
ESA,PROPN,NNP,ESA,Noun,37
JAXA,PROPN,NNP,JAXA,Noun,37
space,NOUN,NN,space,Noun,37
agency,NOUN,NN,agency,Noun,37
CNES,PROPN,NNP,CNES,Noun,37
Centre,PROPN,NNP,Centre,Noun,37
National,PROPN,NNP,National,Noun,37
d'Etudes,PROPN,NNP,d'Etudes,Noun,37
Spatiales,PROPN,NNP,Spatiales,Noun,37
Max,PROPN,NNP,Max,Noun,37
Planck,PROPN,NNP,Planck,Noun,37
Institute,PROPN,NNP,Institute,Noun,37
Astronomy,PROPN,NNP,Astronomy,Noun,37
Germany,PROPN,NNP,Germany,Noun,37
